Категория,Значение
C,66.30698765253577
D,10.732553085169805
A,92.17223502906788
A,48.72273650981177
C,70.1371399841846
D,66.08496516378541
D,36.99843504000522
C,44.520728888055004
B,88.92923327799261
C,43.93467050996735
D,89.20889090971771
D,8.457810813523592
D,91.86447072791408
B,38.58354272514005
B,9.340381884692716
A,75.24412887777711
D,92.60947866667613
D,11.00531143345721
D,25.989804417317764
A,62.683745792683595
D,97.20519813243736
B,17.422590571325436
B,35.7032033914104
C,41.822631305520176
A,71.68141017556117
A,76.56421154902884
C,96.85507032826071
C,81.57703696880438
B,33.20340185356581
A,41.38858872890396
C,74.25908420206876
D,39.50864894187339
A,75.9468117505601
A,57.71523831076316
A,92.18702669979689
D,48.12654328740679
A,55.26826344563184
C,84.83006833190947
B,98.02192968191821
C,69.70475614950726
A,99.71488681067
C,39.23627564199455
A,93.36633337551105
D,17.579767551067892
C,77.81691902360775
C,53.189424575698716
A,23.453268715054588
D,93.47518305559686
D,67.55438056340356
B,23.34336046683958
D,6.413565684581213
D,17.05436650957095
A,64.2453394148039
B,36.55355531898598
B,92.6678033950415
D,28.165191688712543
C,89.96197934612482
D,35.84652960071332
B,39.795904167045336
B,22.645476331010784
D,0.35070005045114705
B,52.59074577627189
D,34.58923779424039
D,64.95274357417408
D,18.14401529899157
C,76.77153735442094
B,38.76165767796383
C,13.933129630477437
B,42.136728075336485
D,3.5543893327573017
C,8.119351216599501
C,90.93720001180343
C,74.4393791397567
A,87.96808366191642
A,8.178523080948763
D,28.911474587132126
B,38.64063192193415
A,86.79443713949321
C,10.075803454545728
B,37.276652802131046
C,47.62811732773533
A,67.78241860276249
C,53.076700285265176
B,15.097875810451145
D,18.731602620040235
D,19.62804649998693
D,87.35730263938338
C,54.41116410300448
B,95.7624636089925
B,57.8632212455142
B,77.65798121734959
B,95.08649214533695
D,43.071588227432535
C,86.4707405928476
C,50.65396650207128
B,46.617943830447516
A,29.450085798075808
D,6.541236611010182
D,8.133894092908022
B,78.26333081889048
