Категория,Значение
A,71.1433771989736
C,32.00285752100782
D,76.54347334221058
B,45.91752902124047
B,24.030727746780933
D,86.52774915747142
C,21.98903655670432
D,88.90003484073542
A,95.10876115148534
D,94.38955164985273
B,11.889899069512477
A,74.84540419473436
B,98.32644261251293
B,6.9929696871741776
A,93.92567484220278
B,35.58098876640524
C,11.939359427649155
B,98.91439869157954
C,82.59281191955992
C,37.4291725404277
B,63.13810764445926
C,39.85695169070098
B,19.153006832584694
D,52.73017379468165
A,26.936511030207278
A,66.40306855608245
C,38.43743927646147
A,81.65929081234064
C,2.4979169617538433
C,62.2661405877671
A,72.55062959558451
C,56.66853194527732
D,79.73878215989902
D,61.02536531203202
A,3.233755207903921
B,49.379220289762394
D,93.27511922960117
C,41.30157691333605
B,5.774331512956565
B,41.23201819450449
A,53.67985531376218
A,28.821379974628268
B,98.97945841315156
A,35.40544553625138
A,28.92299270673473
B,4.92133232133134
A,33.34873505482746
A,57.64271548920185
B,49.036005492140525
D,94.52944836653197
A,53.50557615979302
D,71.57908081085664
A,46.41382786959012
B,23.779663322647735
A,44.04407998305787
A,5.621892799799477
A,94.76961522293941
D,32.43400878682162
B,37.48361954043421
C,68.1709107002591
C,99.74678032695759
C,77.77466722109753
B,9.234848473105995
C,35.206462019760075
D,49.37159616611289
B,5.244257828789212
B,82.83446025736414
C,61.90395971160421
D,78.22034770584803
C,93.92814080518667
C,19.876265603159815
A,19.53263964047801
D,97.68197747304147
D,54.89203646899763
B,0.4071409551560379
D,22.59818069499655
A,98.08652634289143
C,61.82988333404741
B,96.8437916451428
A,55.08634808729062
C,26.577284294395
B,74.35256385924158
D,61.51574324865848
C,7.3211235148939675
A,72.56395068147255
C,67.36087637187674
D,49.38170175470279
A,73.43661829479291
A,35.196702373483035
C,16.234385986967904
B,65.66451743578332
C,87.84879528128184
A,82.15818908231435
D,32.587227324886115
A,4.683402835086103
B,85.3987061570309
C,59.93438734340846
B,71.94305705716941
C,92.59251556472361
A,66.35747043124
