Категория,Значение
A,84.515303843097
B,24.274675382081202
D,18.476529491237958
D,1.1713589382185363
B,41.052174886814406
C,99.8104524770257
B,36.3155834196164
B,34.32765679371739
C,2.707340275980985
A,35.520115904343704
A,74.81623681042745
A,96.39609045355593
A,36.808988292432964
A,84.625708347934
C,38.453989895180875
C,4.234066908300349
B,22.48401530727111
A,57.08430376755985
C,18.451034875355255
B,6.072616122293361
C,62.81512659858593
A,10.563641595584429
C,23.339098646611212
D,9.975786277488453
A,14.287746051036176
B,14.368412892459215
C,4.418234286490186
A,33.99212713304338
D,87.3478699578398
C,54.90464602750704
B,68.26561520215388
A,67.39991283256433
A,33.751336697088774
A,49.078774798744796
C,5.693768993957871
C,12.169891571790936
A,3.3447397039120252
A,77.22690409308913
A,91.15814985566975
C,54.27153225572826
A,18.71813584823785
A,69.70239591510794
B,90.19989736509307
A,16.31032985259574
B,63.84260984400413
C,82.30529739144238
A,33.23146039532262
B,76.30832935701903
C,31.193869339644596
C,65.97433604223241
D,56.54005304994265
D,63.95165707489427
A,33.80098261353738
D,12.907136260270512
B,95.4471652081403
A,56.24109796607254
B,71.95202257450562
D,77.11366571001882
B,47.6401248786661
B,72.72432592640457
A,20.476508492482637
B,52.09085717363736
D,64.78621373106981
C,31.171295197504744
C,55.546513710535486
A,72.24444938064137
D,33.27638677235355
A,72.48952802192741
A,75.44238675488208
B,24.305899869227755
A,57.56955141333759
D,87.25983819730232
D,69.87903833795951
A,89.17821744021501
D,12.227665145247023
C,58.6415129155076
A,81.14642250556055
A,30.745853318629244
D,23.8123417119964
A,22.376537811217844
B,53.94214675250946
A,60.70210933350354
D,54.832861653234296
A,58.43394150082679
D,35.06405779941241
A,33.54338351864106
A,98.29953832533555
C,58.043624126699825
B,39.103872835708046
C,93.13759351828796
D,74.90236433058777
C,53.49601578532215
B,5.663247515639491
B,97.85483080877368
C,12.738515780640657
D,97.53389222520839
C,41.25117472302681
A,55.694174010878484
C,80.90335587679502
B,57.082490477994305
